Year,Month,Day,GHI,TRACT_FIPS
2014,7,23,0,51121020400
2014,7,23,0,51121020400
2014,7,23,0,51121020400
2014,7,23,0,51121020400
2014,7,23,0,51121020400
2014,7,23,11,51121020400
2014,7,23,156,51121020400
2014,7,23,353,51121020400
2014,7,23,552,51121020400
2014,7,23,729,51121020400
2014,7,23,858,51121020400
2014,7,23,750,51121020400
2014,7,23,498,51121020400
2014,7,23,736,51121020400
2014,7,23,843,51121020400
2014,7,23,647,51121020400
2014,7,23,424,51121020400
2014,7,23,283,51121020400
2014,7,23,134,51121020400
2014,7,23,0,51121020400
2014,7,23,0,51121020400
2014,7,23,0,51121020400
2014,7,23,0,51121020400
2014,7,23,0,51121020400
2014,7,23,0,51121020800
2014,7,23,0,51121020800
2014,7,23,0,51121020800
2014,7,23,0,51121020800
2014,7,23,0,51121020800
2014,7,23,10,51121020800
2014,7,23,156,51121020800
2014,7,23,352,51121020800
2014,7,23,550,51121020800
2014,7,23,727,51121020800
2014,7,23,855,51121020800
2014,7,23,941,51121020800
2014,7,23,711,51121020800
2014,7,23,540,51121020800
2014,7,23,842,51121020800
2014,7,23,468,51121020800
2014,7,23,497,51121020800
2014,7,23,248,51121020800
2014,7,23,116,51121020800
2014,7,23,0,51121020800
2014,7,23,0,51121020800
2014,7,23,0,51121020800
2014,7,23,0,51121020800
2014,7,23,0,51121020800
2014,7,23,0,51121020500
2014,7,23,0,51121020500
2014,7,23,0,51121020500
2014,7,23,0,51121020500
2014,7,23,0,51121020500
2014,7,23,11,51121020500
2014,7,23,157,51121020500
2014,7,23,353,51121020500
2014,7,23,552,51121020500
2014,7,23,729,51121020500
2014,7,23,857,51121020500
2014,7,23,739,51121020500
2014,7,23,710,51121020500
2014,7,23,755,51121020500
2014,7,23,843,51121020500
2014,7,23,664,51121020500
2014,7,23,429,51121020500
2014,7,23,297,51121020500
2014,7,23,113,51121020500
2014,7,23,0,51121020500
2014,7,23,0,51121020500
2014,7,23,0,51121020500
2014,7,23,0,51121020500
2014,7,23,0,51121020500
2014,7,23,0,51121020201
2014,7,23,0,51121020201
2014,7,23,0,51121020201
2014,7,23,0,51121020201
2014,7,23,0,51121020201
2014,7,23,10,51121020201
2014,7,23,155,51121020201
2014,7,23,352,51121020201
2014,7,23,551,51121020201
2014,7,23,728,51121020201
2014,7,23,857,51121020201
2014,7,23,750,51121020201
2014,7,23,499,51121020201
2014,7,23,737,51121020201
2014,7,23,844,51121020201
2014,7,23,648,51121020201
2014,7,23,425,51121020201
2014,7,23,284,51121020201
2014,7,23,135,51121020201
2014,7,23,0,51121020201
2014,7,23,0,51121020201
2014,7,23,0,51121020201
2014,7,23,0,51121020201
2014,7,23,0,51121020201
2014,7,23,0,51121020600
2014,7,23,0,51121020600
2014,7,23,0,51121020600
2014,7,23,0,51121020600
2014,7,23,0,51121020600
2014,7,23,11,51121020600
2014,7,23,156,51121020600
2014,7,23,353,51121020600
2014,7,23,551,51121020600
2014,7,23,727,51121020600
2014,7,23,856,51121020600
2014,7,23,736,51121020600
2014,7,23,708,51121020600
2014,7,23,753,51121020600
2014,7,23,842,51121020600
